qpcr_plate,qpcr_date,well,swab_id,bird_ID,band_number,dppi,cq_value,quantity,log10_quantity,extraction_plate,extraction_date,extr_neg_cntrls,cq8,cq7,cq6,cq5,cq4,cq3,cq2,cq1,qpcr_neg_cntrls,slope,efficiency,r2,y_inter,error
1,20230614,H7,2653 PID -12,-12_2653,2653,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H8,2655 PID 3,3_2655,2655,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H9,2894 PID 3,3_2894,2894,3,34.89025208,14.45385546,1.189036846,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H10,2869 PID 3,3_2869,2869,3,38.92422833,0.972665539,0.295053458,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H11,2883 PID 3,3_2883,2883,3,39.29678603,0.758091549,0.245041486,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H12,2883 PID 9,9_2883,2883,9,20.49100877,220546.2047,5.343501558,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
2,20230614,A5,2847 PID 10,10_2847,2847,10,32.32445148,83.40515688,1.926368981,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A6,2653 PID 9,9_2653,2653,9,26.61851693,3958.094317,3.597595848,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A7,2764 PID 9,9_2764,2764,9,31.04917121,197.6266857,2.298037596,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A8,2880 PID 9,9_2880,2880,9,21.63583082,115160.3486,5.061306742,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A9,2850 PID 14,14_2850,2850,14,25.05699126,11382.35655,4.056270339,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A10,2889 PID 14,14_2889,2889,14,22.65932141,57626.36481,4.760628761,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A11,2687 PID 14,14_2687,2687,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,A12,2741 PID 14,14_2741,2741,14,23.23520331,39033.56881,4.591449386,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B5,2704 PID 10,10_2704,2704,10,34.35920212,21.05826129,1.343571277,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B6,2903 PID 9,9_2903,2903,9,22.57375695,61060.22614,4.785765521,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B8,2623 PID 9,9_2623,2623,9,28.97271497,805.1342044,2.906407349,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B9,2904 PID 14,14_2904,2904,14,23.55758311,31385.51839,4.496743143,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B10,2690 PID 14,14_2690,2690,14,24.04592806,22556.04773,4.353282258,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B11,2603 PID 14,14_2603,2603,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,B12,2892 PID 14,14_2892,2892,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C5,2842 PID 10,10_2842,2842,10,33.87221489,29.27453062,1.481077419,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C6,2690 PID 9,9_2690,2690,9,21.744764,106979.4863,5.029304568,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C7,2928 PID 9,9_2928,2928,9,29.19695439,691.8167477,2.840618377,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C8,2907 PID 9,9_2907,2907,9,28.84775154,876.1533322,2.943075518,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C9,2648 PID 14,14_2648,2648,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C10,2929 PID 14,14_2929,2929,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C11,2689 PID 14,14_2689,2689,14,22.95715667,47111.07188,4.673132204,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,C12,2655 PID 14,14_2655,2655,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D5,2718 PID 10,10_2718,2718,10,32.29065455,85.33393785,1.93618155,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D6,2869 PID 9,9_2869,2869,9,31.5652816,139.3870197,2.147326954,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D7,2920 PID 9,9_2920,2920,9,30.15738315,361.2731406,2.559036136,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D8,2648 PID 9,9_2648,2648,9,30.49615414,287.2839133,2.459820409,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D9,2883 PID 14,14_2883,2883,14,20.40478,264826.778,5.422963537,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D10,2581 PID 14,14_2581,2581,14,23.09009944,43059.30051,4.634077056,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D11,2928 PID 14,14_2928,2928,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,D12,2894 PID 14,14_2894,2894,14,23.84095898,25910.68878,4.413495719,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E5,2846 PID 10,10_2846,2846,10,32.12615528,95.37806137,1.983978186,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
